Gene,Sample_01-a01va,Sample_02-a01vb,Sample_03-a01vc,Sample_04-a01ca,Sample_05-a01cb,Sample_06-a01cc,Sample_07-a02vb,Sample_08-a02vc,Sample_09-a02ca,Sample_10-a02cb,Sample_11-a02cc,Sample_12-a04va,Sample_13-a04vb,Sample_14-a04vc,Sample_15-a04ca,Sample_16-a04cb,Sample_17-a04cc,Sample_18-a05va,Sample_19-a05vb,Sample_20-a05vc,Sample_21-a05ca,Sample_22-a05cb,Sample_23-a05cc,Sample_24-a06ca,Sample_25-a06cb,Sample_26-a07va,Sample_27-a07vb,Sample_28-a07vc,Sample_29-a07ca,Sample_30-a07cb,Sample_31-a07cc,Sample_32-a08va,Sample_33-a08vb,Sample_34-a08vc,Sample_35-a08ca,Sample_36-a08cc,Sample_37-a09va,Sample_38-a09vb,Sample_39-a09vc,Sample_40-a09ca,Sample_41-a09cb,Sample_42-a09cc,Sample_43-a10va,Sample_44-a10vb,Sample_45-a10vc,Sample_46-a10ca,Sample_47-a10cb,Sample_48-a10cc,Sample_49-a12va,Sample_50-a12vb,Sample_51-a13va,Sample_52-a13vb,Sample_53-a13vc,Sample_54-a13ca,Sample_55-a13cb,Sample_56-a13cc,Sample_57-a14va,Sample_58-a14vb,Sample_59-a14vc,Sample_60-a14ca,Sample_61-a14cb,Sample_62-a14cc,Sample_63-a17va,Sample_64-a17vb,Sample_65-a17vc,Sample_66-a17ca,Sample_67-a17cb,Sample_68-a17cc,Sample_69-arva,Sample_70-arvb,Sample_71-arvc,Sample_72-arca,Sample_73-arcb,Sample_74-arcc
PkV-RF01_g1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PkV-RF01_g2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,1,5,0,0,0,0,0,1,6,1,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,0,6,1,4,0,0,0,6,10,5,0,0,0,0,0,0,0,0,0
PkV-RF01_g3,0,0,0,0,0,0,0,2,0,0,0,33,27,10,0,0,0,33,45,41,0,0,0,0,0,12,31,15,0,0,0,12,27,11,0,0,8,23,10,0,0,1,20,9,9,0,0,0,6,9,32,15,15,0,0,0,13,3,15,0,0,0,73,88,66,0,0,0,0,0,0,0,0,0
PkV-RF01_g4,0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,2,10,19,0,0,0,0,0,1,8,4,0,0,0,9,17,4,0,0,8,11,2,0,0,0,9,4,12,0,0,0,10,22,18,19,5,0,0,0,26,5,13,0,0,0,11,24,8,0,0,0,0,0,0,0,0,0
PkV-RF01_g5,4,0,0,0,0,0,8,7,0,0,0,37,28,10,0,0,0,26,37,48,0,0,0,0,0,14,22,24,0,0,0,28,15,10,0,0,12,24,7,0,0,0,11,17,14,0,0,0,10,20,17,21,3,0,0,0,23,33,34,0,0,0,51,80,36,0,0,0,0,0,0,0,0,0
PkV-RF01_g6,0,0,0,0,0,0,0,1,0,0,0,18,14,6,0,0,0,14,23,19,0,0,0,0,0,19,19,5,0,0,0,18,24,13,0,0,20,34,8,0,0,0,11,14,14,0,0,0,16,61,63,37,19,0,0,0,30,54,39,0,0,0,36,71,36,0,0,0,0,0,0,0,0,0
PkV-RF01_g7,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,8,9,7,0,0,0,0,0,17,11,11,0,0,0,21,35,20,0,0,9,29,10,0,0,0,26,18,26,0,0,0,63,98,149,102,50,0,0,0,90,80,75,0,0,0,61,61,33,0,0,0,0,0,0,0,0,0
PkV-RF01_g8,0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,0,4,18,8,0,0,0,0,0,3,12,7,0,0,0,22,23,8,0,0,17,24,12,0,0,0,10,8,16,0,0,0,19,41,47,62,18,0,0,0,59,49,40,0,0,0,37,31,23,0,0,0,0,0,0,0,0,0
PkV-RF01_g9,9,21,5,0,0,0,50,32,0,0,0,410,475,205,0,0,0,1060,940,697,0,0,0,0,0,832,775,444,0,0,0,840,907,1037,0,0,524,536,357,0,0,6,531,488,753,0,0,0,514,1356,765,297,280,0,0,0,338,663,841,0,0,0,1702,834,1145,0,0,0,6,0,1,0,0,0
PkV-RF01_g10,0,0,0,0,0,0,3,2,0,0,0,65,79,35,0,0,0,203,192,171,0,0,0,0,0,394,472,300,0,0,0,679,826,786,0,0,689,534,384,0,0,0,854,753,1014,0,0,0,861,2110,1529,576,541,0,0,0,380,1010,1360,0,0,0,1412,610,764,0,0,0,0,0,0,0,0,0
PkV-RF01_g11,16,9,7,0,0,0,33,42,0,0,0,191,248,89,0,0,0,268,308,312,0,0,0,0,0,135,222,143,0,0,0,249,272,154,0,0,84,214,63,0,0,3,97,78,151,0,0,0,138,253,299,160,123,0,0,0,149,219,257,0,0,0,472,531,389,0,0,0,9,0,0,0,0,0
