"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_1",0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,4,2,0,0,0,0,0,3,3,2,0,0,0,2,4,2,0,0,0,3,0,0,0,0,2,1,0,0,0,0,8,6,8,6,1,0,0,0,15,10,11,0,0,0,14,11,18,0,0,0,0,0,0,0,0,0
"gene_2",15,10,7,0,0,0,17,19,0,0,0,103,100,40,0,0,0,86,124,176,0,0,0,0,0,49,110,78,0,0,0,88,96,36,0,0,38,55,24,0,0,0,28,36,30,0,0,0,42,92,105,102,41,0,0,0,107,110,102,0,0,0,240,317,202,0,0,0,4,2,2,0,0,0
"gene_3",0,0,0,0,0,0,0,1,0,0,0,34,27,10,0,0,0,32,48,41,0,0,0,0,0,12,25,12,0,0,0,12,26,9,0,0,8,23,10,0,0,1,19,9,9,0,0,0,3,10,30,15,13,0,0,0,12,3,15,0,0,0,69,85,64,0,0,0,0,0,0,0,0,0
"gene_4",0,0,0,0,0,0,0,0,0,0,0,6,6,2,0,0,0,2,10,21,0,0,0,0,0,1,8,4,0,0,0,9,17,4,0,0,8,13,2,0,0,0,9,4,13,0,0,0,10,24,21,22,5,0,0,0,29,5,13,0,0,0,11,23,9,0,0,0,0,0,0,0,0,0
"gene_5",4,0,0,0,0,0,7,7,0,0,0,36,25,10,0,0,0,20,36,41,0,0,0,0,0,14,22,11,0,0,0,27,14,8,0,0,11,22,6,0,0,0,11,12,14,0,0,0,10,18,14,18,3,0,0,0,20,33,30,0,0,0,44,70,28,0,0,0,0,0,0,0,0,0
"gene_6",0,0,0,0,0,0,0,1,0,0,0,18,17,7,0,0,0,14,23,20,0,0,0,0,0,19,19,5,0,0,0,19,24,13,0,0,19,34,8,0,0,0,11,13,18,0,0,0,16,57,67,38,20,0,0,0,34,52,38,0,0,0,35,72,36,0,0,0,0,0,0,0,0,0
"gene_7",0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,9,13,10,0,0,0,0,0,17,12,12,0,0,0,30,38,19,0,0,9,29,10,0,0,0,27,18,29,0,0,0,66,103,151,106,51,0,0,0,95,82,79,0,0,0,64,65,34,0,0,0,0,0,0,0,0,0
"gene_8",0,0,0,0,0,0,0,0,0,0,0,1,11,4,0,0,0,4,19,11,0,0,0,0,0,3,12,8,0,0,0,21,24,8,0,0,17,22,11,0,0,0,9,9,17,0,0,0,20,45,47,61,19,0,0,0,65,50,42,0,0,0,41,31,24,0,0,0,0,0,0,0,0,0
"gene_9",10,21,5,0,0,0,49,35,0,0,0,390,460,197,0,0,0,1035,903,650,0,0,0,0,0,766,688,413,0,0,0,796,843,980,0,0,476,482,330,0,0,7,485,449,707,0,0,0,470,1268,690,276,245,0,0,0,326,596,800,0,0,0,1645,841,1094,0,0,0,1,0,2,0,0,0
"gene_10",0,0,0,0,0,0,3,2,0,0,0,66,80,39,0,0,0,219,199,182,0,0,0,0,0,411,487,306,0,0,0,711,848,818,0,0,702,532,397,0,0,0,871,758,1044,0,0,0,877,2178,1566,584,547,0,0,0,401,1035,1382,0,0,0,1478,619,795,0,0,0,0,0,0,0,0,0
"gene_11",16,9,7,0,0,0,33,45,0,0,0,192,256,88,0,0,0,275,307,314,0,0,0,0,0,127,233,143,0,0,0,252,270,155,0,0,85,206,58,0,0,3,96,68,145,0,0,0,135,249,295,162,122,0,0,0,148,226,245,0,0,0,470,542,390,0,0,0,9,0,0,0,0,0
