"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_1",0,0,0,0,0,0,0,0,0,0,0,1.65310072550629,1.21605473599664,1.15230694118931,0,0,0,1.42219573895373,1.5082133850728,0.825521499838231,0,0,0,0,0,1.05438684803087,0.798891688298111,0.891897736771476,0,0,0,0.50862895409534,0.849950753972787,0.795536796371764,0,0,0,1.01048795865734,0,0,0,0,0.619301140227239,0.539082655090332,0,0,0,0,1.80230176978176,1.01076121358968,1.34609262438768,1.3109751802507,0.368752073578492,0,0,0,2.24862626844786,1.82259932112942,1.75432833286711,0,0,0,2.09934920982195,2.01685530705239,2.94230613110735,0,0,0,0,0,0,0,0,0
"gene_2",5.02299064110565,3.93597943042565,4.70992589102838,0,0,0,6.89148470175108,5.36251680600629,0,0,0,6.87170681001271,6.13544097107648,5.7275556932263,0,0,0,5.69429734080847,5.93458818048189,6.1474775300723,0,0,0,0,0,4.26299517658568,4.87207566628736,5.16944955779598,0,0,0,4.3517664445593,4.3843371015141,3.88139539513683,0,0,3.913917733935,4.34426279390992,3.68526583494169,0,0,0,3.14520914825683,4.17124191670389,3.34601467740946,0,0,0,3.86212406729168,4.11928459780466,4.45430599082315,4.76401804463594,3.73583464001128,0,0,0,4.85375196235549,4.88544011376095,4.56435821265057,0,0,0,5.91272378788639,6.52589461555444,6.29140014398938,0,0,0,0.907470093284625,2.50083083891181,1.02060669652364,0,0,0
"gene_3",0,0,0,0,0,0,0,1.64855806146488,0,0,0,5.43797165865409,4.41552954064879,3.91007686928274,0,0,0,4.41639176611877,4.75258388026272,4.22820335635804,0,0,0,0,0,2.5042756068406,3.02102684127337,2.79209259970333,0,0,0,1.94816611311784,2.72703617192423,2.19434236309546,0,0,2.07920826099853,3.32086632356433,2.66276361845433,0,0,1.95884483440182,2.77122360692302,2.49539303668329,1.99727027588838,0,0,0,1.0169925797345,1.50786020499838,2.92801338887502,2.40652335770935,2.39454605358193,0,0,0,2.09797571643472,0.869472267385556,2.19564090607083,0,0,0,4.25972629015939,4.78008134062715,4.77943355792135,0,0,0,0,0,0,0,0,0
"gene_4",0,0,0,0,0,0,0,0,0,0,0,2.97502911018028,2.38211696144398,1.86334368492626,0,0,0,1.13648786300346,2.56705503866675,3.23538851438617,0,0,0,0,0,0.459324564340947,1.62458049852593,1.49511784042843,0,0,0,1.58953439354855,2.18525182568642,1.34648718896036,0,0,1.99845039116278,2.48924488708496,0.999333311020356,0,0,0,1.82923835077571,1.54324609502544,2.32795791395997,0,0,0,2.08883137282473,2.41282967610248,2.38493995730381,2.74621631135535,1.33048298019201,0,0,0,3.11346673217911,1.2055126457456,1.96906022928877,0,0,0,1.90745282565523,2.9408630026346,2.16171264133749,0,0,0,0,0,0,0,0,0
"gene_5",3.20608641596973,0,0,0,0,0,5.64372156750984,3.98577099896915,0,0,0,5.52178517675573,4.31221757478676,3.91437242807802,0,0,0,3.7753908891364,4.35854723151417,4.23634144998775,0,0,0,0,0,2.68530476222384,2.86616893817685,2.69397236547432,0,0,0,2.89220781936042,2.00852654833503,2.06002872660921,0,0,2.44161243195448,3.26576813043743,2.07128414091835,0,0,0,2.13298386461049,2.84235738728215,2.49516325592601,0,0,0,2.13464114720868,2.10072871717023,2.03903477917709,2.62477208793655,0.988242819581328,0,0,0,2.68735208762745,3.34128430842955,3.02348548347166,0,0,0,3.65720415082353,4.51352902151538,3.65772055597503,0,0,0,0,0,0,0,0,0
"gene_6",0,0,0,0,0,0,0,1.65921868154894,0,0,0,4.52304063250479,3.7766336436866,3.42808618440167,0,0,0,3.29978891425113,3.72424886968363,3.24392839001398,0,0,0,0,0,3.0760614165431,2.65287523787804,1.77748831842992,0,0,0,2.45545816323323,2.62436861992348,2.6265303987479,0,0,3.09578008004695,3.81031982958684,2.38498625403191,0,0,0,2.11795778713904,2.92820119852329,2.80343400603477,0,0,0,2.69178235786742,3.54154762340707,3.94953709347987,3.53506210284892,2.89162579656989,0,0,0,3.36323593511477,3.92700742704728,3.32113613890746,0,0,0,3.35338411978585,4.52406843774125,3.9664390347623,0,0,0,0,0,0,0,0,0
"gene_7",0,0,0,0,0,0,0,0,0,0,0,2.48216547627151,0.768098657470239,2.65319965682199,0,0,0,2.67949219826928,2.89152747331903,2.3263717297886,0,0,0,0,0,2.88466104423078,2.04726129028328,2.69445768971935,0,0,0,2.94641935490373,3.16110488943432,3.06048155596259,0,0,2.12972012789998,3.4993586927391,2.58586863735681,0,0,0,3.11659809117449,3.26728522724786,3.3209881235427,0,0,0,4.49219344651116,4.29340967020186,4.97410990769015,4.83573204295081,4.04135265154193,0,0,0,4.7068239990642,4.48838216766859,4.22734244231153,0,0,0,4.09185628626486,4.31493573584694,3.82226757284266,0,0,0,0,0,0,0,0,0
"gene_8",0,0,0,0,0,0,0,0,0,0,0,1.02558778581745,3.0054100671925,2.50337930233755,0,0,0,1.65821356961306,3.24232225125059,2.37017402784277,0,0,0,0,0,1.03800511816123,1.95393581774637,2.10775808625846,0,0,0,2.40741936542113,2.51040058762564,1.94829240230365,0,0,2.77513594579204,3.04418291550258,2.61756087207759,0,0,0,1.74055624128566,2.30986937069645,2.52721903122965,0,0,0,2.81760290643744,3.06219504172769,3.30136337350812,3.96883402192202,2.68194277201895,0,0,0,4.06824121101358,3.75407931346373,3.30415197801783,0,0,0,3.36004111180677,3.22685944794597,3.28349947072403,0,0,0,0,0,0,0,0,0
"gene_9",4.46256171150173,4.90279062317746,4.22835290784523,0,0,0,8.40720986600597,6.26266660361793,0,0,0,8.86961329139136,8.40081463057284,8.09057250652251,0,0,0,9.33823183841752,8.8744865715719,8.0819603588828,0,0,0,0,0,8.21820042233376,7.56434457902613,7.62585401944949,0,0,0,7.5450138863358,7.50048860358622,8.60831657703133,0,0,7.55103992267702,7.49744075310465,7.42930477242502,0,0,4.43356573364192,7.1804285601893,7.81923090609481,7.86372368442427,0,0,0,7.31632721694369,7.90179977657728,7.19727818556106,6.25623165587955,6.28741663389312,0,0,0,6.4964694514804,7.33699831299603,7.55080516240925,0,0,0,8.75224664448986,7.99164625147945,8.77366575520515,0,0,0,0.276537753337776,0,1.00100037879365,0,0,0
"gene_10",0,0,0,0,0,0,4.43969186964518,2.34919719510235,0,0,0,6.15063203198784,5.73804161163906,5.58552368389689,0,0,0,6.93340483473512,6.52055191882459,6.14738795689747,0,0,0,0,0,7.20508841448316,6.90735256668991,7.02893854241532,0,0,0,7.22777832160644,7.40822307938619,8.22544037634393,0,0,7.9515715669228,7.48793026973755,7.56582307010044,0,0,0,7.86038904126142,8.41510086998257,8.23343514421373,0,0,0,8.08457049949953,8.5140293745772,8.23289479086971,7.16986463798293,7.31553182805679,0,0,0,6.64957565249505,8.03559693617815,8.21613302450169,0,0,0,8.42586459686441,7.41867014973355,8.20228144930011,0,0,0,0,0,0,0,0,0
