target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	790.649	0	0
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	506.221	24.5	245.841
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	148.846	10	341.264
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	451.021	2	22.5248
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	135.948	6	224.186
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	206.115	8	197.156
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	442.411	10	114.816
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1204.65	11	46.3832
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	272.451	330	6152.54
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	883.649	397	2282.12
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	370.003	58	796.253
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	793.649	15	96.0044
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	721.79	25	175.937
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	269.98	23	432.738
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1051.65	39	188.375
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	703.857	39	281.455
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1636.65	18	55.8657
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	191.863	7	185.325
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1588.65	40	127.897
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	394.759	20	257.351
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	823.649	12	74.0061
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1039.65	5	24.4293
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	168.604	20	602.546
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2182.65	122	283.925
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	394.759	6	77.2053
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	215.622	25	588.945
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2029.65	119	297.82
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	148.846	7	238.885
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2296.65	43	95.1048
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	594.083	26	222.308
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	141.967	1	35.7801
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1483.65	40	136.948
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2428.65	84	175.688
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	506.221	27	270.927
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	334.869	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1108.65	12	54.9814
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1498.65	49	166.083
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	319.054	141	2244.83
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1306.65	144	559.799
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1147.65	13	57.539
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	913.649	18	100.074
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2890.65	209	367.265
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	653.118	20	155.549
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4228.65	381	457.669
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	425.503	56	668.519
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	417.201	5	60.8769
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	267.477	3	56.9721
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	653.118	75	583.308
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	653.118	3	23.3323
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	217.944	27	629.285
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	321.638	62	979.159
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1183.65	21	90.1207
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2491.65	144	293.565
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	715.79	275	1951.53
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	403.525	124	1560.92
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	311.096	41	669.449
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2185.65	38	88.3144
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	343.061	2	29.6133
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	284.918	17	303.08
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	361.938	82	1150.82
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	985.649	150	773.032
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	308.376	49	807.13
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	269.98	3	56.4441
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	305.778	12	199.344
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	721.79	41	288.537
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	784.649	5	32.3685
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	544.111	67	625.484
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	244.886	12	248.911
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	170.745	14	416.494
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	485.937	10	104.532
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	155.326	12	392.432
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	790.649	9	57.8212
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	316.404	1	16.0541
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	488.748	20	207.861
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1309.65	10	38.7859
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	361.938	2	28.0688
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	635.489	14	111.905
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1582.65	55	176.525
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	946.649	59	316.586
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	910.649	30	167.34
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	196.681	3	77.4798
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	194.221	3	78.4609
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1258.65	5	20.1787
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	850.649	12	71.6571
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	170.745	57	1695.73
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	375.344	27	365.395
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	217.944	6	139.841
gene_88|GeneMark.hmm|1149_nt|-|117751|118899	1149	910.649	20	111.56
gene_89|GeneMark.hmm|1827_nt|-|119023|120849	1827	1588.65	15	47.9614
gene_90|GeneMark.hmm|1104_nt|-|120989|122092	1104	865.649	12	70.4154
gene_91|GeneMark.hmm|945_nt|-|122574|123518	945	706.79	15	107.803
gene_92|GeneMark.hmm|1263_nt|-|123670|124932	1263	1024.65	2	9.91478
gene_93|GeneMark.hmm|1848_nt|+|125079|126926	1848	1609.65	23	72.5814
gene_94|GeneMark.hmm|558_nt|-|126944|127501	558	334.869	14	212.365
gene_95|GeneMark.hmm|1359_nt|+|127594|128952	1359	1120.65	40	181.309
gene_96|GeneMark.hmm|327_nt|-|128953|129279	327	146.455	17	589.621
gene_97|GeneMark.hmm|417_nt|-|129357|129773	417	215.622	3	70.6734
gene_98|GeneMark.hmm|1239_nt|+|129853|131091	1239	1000.65	53	269.043
gene_99|GeneMark.hmm|3012_nt|-|131088|134099	3012	2773.65	38	69.5922
gene_100|GeneMark.hmm|945_nt|+|134187|135131	945	706.79	0	0
gene_101|GeneMark.hmm|417_nt|+|135172|135588	417	215.622	4	94.2313
gene_102|GeneMark.hmm|642_nt|-|135589|136230	642	411.928	20	246.625
gene_103|GeneMark.hmm|642_nt|-|136265|136906	642	411.928	14	172.637
gene_104|GeneMark.hmm|681_nt|-|136975|137655	681	448.065	44	498.816
gene_105|GeneMark.hmm|1239_nt|+|137742|138980	1239	1000.65	5	25.3815
gene_106|GeneMark.hmm|2964_nt|-|139049|142012	2964	2725.65	343	639.223
gene_107|GeneMark.hmm|1512_nt|+|142103|143614	1512	1273.65	67	267.21
gene_108|GeneMark.hmm|606_nt|+|143723|144328	606	378.085	66	886.712
gene_109|GeneMark.hmm|708_nt|-|144620|145327	708	474.17	93	996.272
gene_110|GeneMark.hmm|480_nt|+|145414|145893	480	267.477	4	75.9629
gene_111|GeneMark.hmm|1386_nt|+|145962|147347	1386	1147.65	32	141.635
gene_112|GeneMark.hmm|630_nt|+|147383|148012	630	400.603	1	12.6798
gene_113|GeneMark.hmm|645_nt|-|148016|148660	645	414.485	12	147.062
gene_114|GeneMark.hmm|498_nt|+|148762|149259	498	282.38	7	125.919
gene_115|GeneMark.hmm|600_nt|-|149376|149975	600	372.638	18	245.366
gene_116|GeneMark.hmm|1797_nt|+|150056|151852	1797	1558.65	22	71.6973
gene_117|GeneMark.hmm|312_nt|-|151937|152248	312	135.948	17	635.193
gene_118|GeneMark.hmm|843_nt|-|152729|153571	843	605.968	11	92.2087
gene_119|GeneMark.hmm|1920_nt|-|153899|155818	1920	1681.65	53	160.092
