target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	776.196	2	6.51613
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	491.491	28	144.07
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	142.46	19	337.281
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	437.101	9	52.0705
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	129.75	11	214.396
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	197.212	11	141.056
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	428.754	27	159.253
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1190.2	9	19.123
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	262.193	485	4677.9
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	869.196	871	2534.14
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	356.977	96	680.083
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	779.196	39	126.575
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	707.4	27	96.5228
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	259.642	34	331.158
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1037.2	84	204.809
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	689.531	55	201.716
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1622.2	47	73.2699
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	184.188	29	398.169
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1574.2	34	54.6199
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	381.229	71	470.981
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	809.196	19	59.3787
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1025.2	12	29.6009
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	162.273	52	810.381
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2168.2	322	375.568
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	381.229	10	66.3353
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	206.813	47	574.713
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2015.2	189	237.179
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	142.46	12	213.02
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2282.2	59	65.3778
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	579.21	49	213.94
