target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	765.123	1.5	12.1276
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	481.919	103	1322.14
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	138.334	34	1520.42
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	427.625	6	86.7967
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	126.184	36	1764.88
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	193.347	18	575.904
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	419.048	4	59.0488
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1179.12	1	5.24633
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	256.631	390	9400.94
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	858.123	66	475.784
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	347.45	192	3418.41
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	768.123	33	265.765
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	696.263	80	710.774
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	254.076	49	1193.02
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1026.12	18	108.515
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	678.604	171	1558.82
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1611.12	12	46.0752
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	179.735	10	344.178
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1563.12	61	241.408
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	371.645	12	199.741
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	798.123	32	248.025
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1014.12	14	85.3989
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	157.08	2	78.7633
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2157.12	18	51.6194
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	371.645	4	66.5804
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	202.045	145	4439.51
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2004.12	18	55.5601
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	138.334	1	44.7183
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2271.12	45	122.571
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	569.313	16	173.854
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	132.016	8	374.869
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1458.12	13	55.1524
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2403.12	24	61.7803
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	481.919	4	51.3453
