target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	802.74	1.5	6.20864
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	516.684	175.5	1128.58
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	150.385	41	905.859
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	460.834	21	151.41
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	136.671	41	996.757
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	210.569	20	315.584
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	452.012	10	73.5073
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1216.74	11	30.0383
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	279.29	650	7732.83
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	895.74	182	675.102
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	378.127	314	2759.13
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	805.74	67	276.287
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	733.887	159	719.86
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	276.86	113	1356.12
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1063.74	35	109.323
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	715.887	260	1206.73
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1648.74	28	56.4269
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	195.407	30	510.106
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1600.74	105	217.946
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	403.476	39	321.165
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	835.74	41	163.002
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1051.74	34	107.411
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	171.364	20	387.786
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2194.74	99	149.876
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	403.476	2	16.47
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	220.856	236	3550.44
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2041.74	78	126.933
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	150.385	10	220.941
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2308.74	82	118.01
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	605.76	42	230.372
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	143.493	15	347.328
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1495.74	43	95.5196
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2440.74	132	179.694
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	516.684	28	180.058
