target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	765.558	3.5	15.7777
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	481.684	124	888.407
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	137.077	48	1208.45
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	427.153	10	80.7922
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	125.022	36	993.728
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	191.328	23	414.86
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	418.606	13	107.174
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1179.56	19	55.5888
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	254.759	903	12232.4
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	858.558	199	799.901
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	347.243	307	3051.11
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	768.558	69	309.831
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	696.627	127	629.153
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	252.507	92	1257.38
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1026.56	37	124.386
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	678.693	199	1011.89
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1611.56	30	64.2433
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	177.82	16	310.521
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1563.56	98	216.304
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	371.529	36	334.398
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	798.558	47	203.116
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1014.56	17	57.8262
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	155.103	10	222.502
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2157.56	95	151.955
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	371.529	9	83.5994
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	200.427	151	2600.01
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2004.56	70	120.513
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	137.077	8	201.409
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2271.56	75	113.944
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	568.7	29	175.982
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	130.905	9	237.267
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1458.56	41	97.0092
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2403.56	100	143.581
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	481.684	12	85.9749
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	313.355	2	22.0266
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1083.56	12	38.2192
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1473.56	34	79.6278
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	298.222	38	439.74
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1281.56	100	269.286
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1122.56	34	104.526
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	888.558	88	341.782
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2865.56	411	494.977
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	628.005	63	346.203
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4203.56	699	573.869
