target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	846.347	0	0
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	558.347	17	2460.21
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	175.484	0	0
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	504.838	0	0
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	160.189	7	3530.95
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	243.216	0	0
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	495.838	0	0
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1260.35	0	0
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	316.455	49	12511.6
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	939.347	3	258.061
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	422.232	33	6315.24
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	849.347	4	380.541
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	777.347	0	0
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	314.262	0	0
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1107.35	0	0
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	759.347	17	1808.99
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1692.35	0	0
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	225.832	0	0
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1644.35	0	0
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	446	0	0
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	879.347	0	0
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1095.35	0	0
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	198.064	0	0
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2238.35	0	0
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	446	0	0
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	254.346	19	6036.09
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2085.35	0	0
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	175.484	0	0
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2352.35	0	0
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	648.347	0	0
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	167.26	0	0
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1539.35	0	0
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2484.35	0	0
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	558.347	0	0
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	385.261	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1164.35	0	0
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1554.35	0	0
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	368.217	0	0
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1362.35	0	0
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1203.35	0	0
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	969.347	0	0
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2946.35	1	27.4248
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	708.347	0	0
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4284.35	1	18.86
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	477.838	0	0
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	469.621	0	0
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	311.262	0	0
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	708.347	0	0
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	708.347	0	0
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	257.124	0	0
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	371.217	0	0
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1239.35	0	0
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2547.35	0	0
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	771.347	0	0
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	455	0	0
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	359.83	0	0
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2241.35	0	0
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	393.608	1	205.288
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	329.83	0	0
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	413.232	0	0
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	1041.35	0	0
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	356.83	3	679.34
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	314.262	0	0
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	353.83	0	0
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	777.347	0	0
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	840.347	0	0
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	597.347	0	0
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	287.298	0	0
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	200.711	7	2818.09
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	537.347	0	0
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	182.231	0	0
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	846.347	0	0
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	365.217	0	0
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	540.347	0	0
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1365.35	3	177.544
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	413.232	4	782.155
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	690.347	0	0
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1638.35	1	49.3198
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	1002.35	0	0
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	966.347	0	0
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	231.832	0	0
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	228.832	0	0
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1314.35	0	0
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	906.347	0	0
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	200.711	3	1207.75
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	428.232	0	0
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	257.124	0	0
